"Name","MedianAge","MedianAge2000","Population","AnnualPopulationGrowth","GenderInequalityIndex","AdolescentFertilityRate","GrossNationalIncomePerCapita","MeanYearsSchooling","LifeExpectancyAtBirth","GDP","number","continent"
"Chile",32.1,28.8,17.4,0.9,66,56,14987,9.7,79.3,263.7,"40","Latin America and the Caribbean"
"Lithuania",39.3,35.9,3.3,-0.4,28,16.1,16858,10.9,72.5,54.1,"41","Europe and Central Asia"
"United Arab Emirates",30.1,28.1,8.1,2.2,40,23.4,42716,8.9,76.7,333.7,"42","Arab States"
"Portugal",41,37.7,10.7,0,16,12.5,19907,7.7,79.7,226.8,"43","Europe and Central Asia"
"Latvia",40.2,38.1,2.2,-0.4,36,12.8,14724,11.5,73.6,30.6,"44","Europe and Central Asia"
"Argentina",30.4,27.9,41.1,0.9,71,54.2,15347,9.3,76.1,631.9,"45","Latin America and the Caribbean"
"Seychelles",NA,NA,0.1,0.3,NA,47.6,22615,9.4,73.8,2,"46","East Asia and the Pacific"
"Croatia",41.5,39.1,4.4,-0.2,33,12.8,15419,9.8,76.8,71.2,"47","Europe and Central Asia"
"Bahrain",30.1,27.4,1.4,2.1,45,14.8,19154,9.4,75.2,26.9,"48","Arab States"
"Bahamas",30.9,27,0.4,1.1,53,28.3,27401,8.5,75.9,9.8,"49","Latin America and the Caribbean"
"Belarus",38.3,36.3,9.5,-0.3,NA,20.5,13385,11.5,70.6,125,"50","Europe and Central Asia"
"Uruguay",33.7,31.6,3.4,0.3,69,59,13333,8.5,77.2,44.9,"51","Latin America and the Caribbean"
"Montenegro",35.9,33.5,0.6,0.1,NA,14.8,10471,10.5,74.8,6.6,"52","Europe and Central Asia"
"Palau",NA,NA,0,0.8,NA,12.7,11463,12.2,72.1,0.3,"53","East Asia and the Pacific"
"Kuwait",28.2,28.3,2.9,2.4,47,14.4,52793,6.1,74.7,135.1,"54","Arab States"
"Russian Federation",37.9,36.5,142.7,-0.1,51,23.2,14461,11.7,69.1,2101.8,"55","Europe and Central Asia"
"Romania",38.5,34.7,21.4,-0.2,55,28.8,11011,10.4,74.2,233.3,"56","Europe and Central Asia"
"Bulgaria",41.6,39.7,7.4,-0.7,38,36.2,11474,10.6,73.6,88.2,"57","Europe and Central Asia"
"Saudi Arabia",25.9,20.9,28.7,2.1,145,22.1,22616,7.8,74.1,601.8,"58","Arab States"
"Cuba",38.4,32.8,11.2,0,63,43.9,5539,10.2,79.3,NA,"59","Latin America and the Caribbean"
"Panama",27.3,24.8,3.6,1.5,108,75.9,13519,9.4,76.3,49.2,"60","Latin America and the Caribbean"
"Mexico",26.6,23.4,116.1,1.1,72,65.5,12947,8.5,77.1,1466.6,"61","Latin America and the Caribbean"
"Costa Rica",28.4,24.8,4.8,1.4,62,61.9,10863,8.4,79.4,50.7,"62","Latin America and the Caribbean"
"Grenada",25,21.8,0.1,0.4,NA,35.4,9257,8.6,76.1,1,"63","Latin America and the Caribbean"
"Libya",25.9,21.9,6.5,0.8,36,2.6,13765,7.3,75,96.2,"64","Arab States"
"Malaysia",26,23.8,29.3,1.6,42,9.8,13676,9.5,74.5,394.6,"65","East Asia and the Pacific"
"Serbia",37.6,35.7,9.8,-0.1,NA,19.2,9533,10.2,74.7,71.2,"66","Europe and Central Asia"
"Antigua and Barbuda",NA,NA,0.1,1,NA,49.1,13883,8.9,72.8,1.3,"67","Latin America and the Caribbean"
"Trinidad and Tobago",30.8,26.9,1.4,0.3,50,31.6,21941,9.2,70.3,30.6,"68","Latin America and the Caribbean"
"Kazakhstan",29,27.7,16.4,1,51,25.5,10451,10.4,67.4,191.5,"69","Europe and Central Asia"
"Albania",30,27.4,3.2,0.3,41,14.9,7822,10.4,77.1,25.3,"70","Europe and Central Asia"
"Venezuela (Bolivarian Republic of)",26.1,23.3,29.9,1.5,93,87.3,11475,7.6,74.6,329.6,"71","Latin America and the Caribbean"
"Dominica",NA,NA,0.1,0,NA,18.9,10977,7.7,77.6,0.8,"72","Latin America and the Caribbean"
